2	A01	2370030
2	A02	2178020
2	A03	2670750
2	A04	3034940
2	A05	2554270
2	A06	2848970
2	A07	3050710
2	A08	3045370
2	A09	1692560
2	A10	3233930
2	A11	2988350
2	A12	3167350
2	A13	2905290
2	A14	2687430
2	A15	2543660
2	A16	3012020
2	A17	2811900
2	A18	1812780
2	A19	3103310
2	A20	2740270
2	A21	2362820
2	A22	2085210
2	A23	2292680
2	A24	2407800
2	B01	2267490
2	B02	2245850
2	B03	2813480
2	B04	2760990
2	B05	2851870
2	B06	937610
2	B07	2474820
2	B08	1528790
2	B09	3097560
2	B10	1449260
2	B11	3142510
2	B12	2153930
2	B13	2211400
2	B14	2772870
2	B15	1796370
2	B16	3216400
2	B17	2072800
2	B18	2891980
2	B19	1652190
2	B20	2265780
2	B21	2197330
2	B22	2764180
2	B23	2187500
2	B24	2171360
2	C01	2783460
2	C02	2306840
2	C03	3283640
2	C04	3021480
2	C05	2843310
2	C06	2674570
2	C07	3351290
2	C08	2215670
2	C09	2062180
2	C10	2253970
2	C11	1544530
2	C12	2678020
2	C13	2560300
2	C14	2927180
2	C15	1564090
2	C16	2272810
2	C17	3535030
2	C18	1422580
2	C19	3062260
2	C20	2911700
2	C21	2556380
2	C22	2049480
2	C23	2546530
2	C24	2446010
2	D01	2227630
2	D02	2353340
2	D03	2929810
2	D04	3330050
2	D05	2669020
2	D06	2753490
2	D07	2071960
2	D08	2379720
2	D09	1562750
2	D10	3149010
2	D11	3294030
2	D12	1652880
2	D13	3461150
2	D14	2289490
2	D15	1229040
2	D16	3211390
2	D17	2608350
2	D18	2503610
2	D19	2977760
2	D20	3011980
2	D21	2339630
2	D22	3058010
2	D23	2362860
2	D24	2447010
2	E01	3148370
2	E02	2858100
2	E03	2964470
2	E04	1923170
2	E05	3049840
2	E06	2100550
2	E07	3571270
2	E08	2908570
2	E09	2857880
2	E10	2674800
2	E11	1625110
2	E12	2601890
2	E13	2938590
2	E14	2974650
2	E15	2361000
2	E16	2224480
2	E17	2924500
2	E18	2001320
2	E19	2934120
2	E20	3419230
2	E21	2858210
2	E22	2097730
2	E23	2987650
2	E24	2871750
2	F01	2946740
2	F02	2872320
2	F03	2079190
2	F04	2549550
2	F05	2249940
2	F06	3023520
2	F07	3202030
2	F08	2254530
2	F09	2410360
2	F10	3075410
2	F11	2945200
2	F12	2364360
2	F13	1738920
2	F14	3125940
2	F15	1975070
2	F16	3445470
2	F17	2550310
2	F18	1913220
2	F19	2550820
2	F20	3298760
2	F21	2221790
2	F22	2613880
2	F23	3010310
2	F24	3024000
2	G01	4022090
2	G02	2948700
2	G03	1820230
2	G04	2116830
2	G05	2154460
2	G06	2923470
2	G07	1845650
2	G08	3431350
2	G09	2986350
2	G10	3003470
2	G11	2392660
2	G12	1995370
2	G13	3250230
2	G14	2015850
2	G15	3049840
2	G16	1864800
2	G17	3009720
2	G18	3075820
2	G19	2934630
2	G20	2866050
2	G21	2551410
2	G22	3090500
2	G23	3076460
2	G24	2840740
2	H01	2860140
2	H02	3054130
2	H03	2024260
2	H04	2394320
2	H05	2742250
2	H06	2869190
2	H07	2396040
2	H08	2416590
2	H09	2828580
2	H10	1712330
2	H11	2728050
2	H12	1432970
2	H13	2476220
2	H14	3372770
2	H15	2570230
2	H16	3224100
2	H17	3345970
2	H18	3298660
2	H19	1504670
2	H20	2622520
2	H21	2257840
2	H22	2724880
2	H23	2990040
2	H24	2897720
2	I01	3061740
2	I02	2833850
2	I03	2432200
2	I04	2969660
2	I05	2759100
2	I06	3383130
2	I07	2309620
2	I08	2534920
2	I09	1861640
2	I10	2457340
2	I11	3010110
2	I12	2976540
2	I13	2798470
2	I14	1471120
2	I15	2501270
2	I16	3447450
2	I17	2612600
2	I18	2137850
